arm,rg_true,cc_true,N,m,reps,rg_mean,rg_sd,rg_bias,rg_rmse,cc_mean,cc_sd,n_used,rg_bias_nominal,realized_rg_mean,realized_rg_sd,ldsc_fail,ldsc_clip,ell_min,ell_max,rho_hi
naive,0.6,0.4,8000,6000,20,0.9558,0.0107,0.3541,0.3542,0.0,0.0,20,0.3558,0.6017,0.0129,,,1.04,4.49,0.8
ldsc,0.6,0.4,8000,6000,20,0.5968,0.1626,-0.0049,0.1549,0.3911,0.1411,20,-0.0032,0.6017,0.0129,0,0,1.04,4.49,0.8
joint,0.6,0.4,8000,6000,20,0.6088,0.0349,0.0071,0.0285,0.3951,0.0195,20,0.0088,0.6017,0.0129,,,1.04,4.49,0.8
oracle,0.6,0.4,8000,6000,20,0.6037,0.0208,0.002,0.0152,0.4,0.0,20,0.0037,0.6017,0.0129,,,1.04,4.49,0.8
naive,0.6,0.4,8000,6000,20,0.8779,0.0135,0.276,0.2762,0.0,0.0,20,0.2779,0.6019,0.0169,,,1.34,18.65,0.95
ldsc,0.6,0.4,8000,6000,20,0.5571,0.245,-0.0448,0.2405,0.3825,0.2257,20,-0.0429,0.6019,0.0169,0,0,1.34,18.65,0.95
joint,0.6,0.4,8000,6000,20,0.6042,0.0266,0.0023,0.0192,0.3985,0.0114,20,0.0042,0.6019,0.0169,,,1.34,18.65,0.95
oracle,0.6,0.4,8000,6000,20,0.6035,0.0237,0.0016,0.0168,0.4,0.0,20,0.0035,0.6019,0.0169,,,1.34,18.65,0.95
naive,0.6,0.4,8000,6000,20,0.8719,0.0131,0.2696,0.2699,0.0,0.0,20,0.2719,0.6022,0.0181,,,1.34,57.59,0.99
ldsc,0.6,0.4,8000,6000,20,0.5592,0.2308,-0.043,0.2251,0.3857,0.2131,20,-0.0408,0.6022,0.0181,0,0,1.34,57.59,0.99
joint,0.6,0.4,8000,6000,20,0.6048,0.0251,0.0025,0.0207,0.3983,0.0106,20,0.0048,0.6022,0.0181,,,1.34,57.59,0.99
oracle,0.6,0.4,8000,6000,20,0.6039,0.0237,0.0017,0.0199,0.4,0.0,20,0.0039,0.6022,0.0181,,,1.34,57.59,0.99
