arm,rg_true,cc_true,N,m,reps,rg_mean,rg_sd,rg_bias,rg_rmse,cc_mean,cc_sd,n_used,rg_bias_nominal,realized_rg_mean,realized_rg_sd,ldsc_fail,ldsc_clip
naive,0.6,0.4,8000,1500,20,0.7467,0.026,0.149,0.1499,0.0,0.0,20,0.1467,0.5978,0.0266,,
ldsc,0.6,0.4,8000,1500,20,0.5347,0.2563,-0.0631,0.2444,0.379,0.625,20,-0.0653,0.5978,0.0266,0,7
joint,0.6,0.4,8000,1500,20,0.6055,0.0454,0.0077,0.0337,0.374,0.0631,20,0.0055,0.5978,0.0266,,
oracle,0.6,0.4,8000,1500,20,0.5955,0.0302,-0.0023,0.0197,0.4,0.0,20,-0.0045,0.5978,0.0266,,
naive,0.6,0.4,8000,3000,20,0.8283,0.0165,0.2261,0.2265,0.0,0.0,20,0.2283,0.6023,0.0137,,
ldsc,0.6,0.4,8000,3000,20,0.5957,0.2336,-0.0065,0.2247,0.354,0.2839,20,-0.0043,0.6023,0.0137,0,1
joint,0.6,0.4,8000,3000,20,0.5995,0.0405,-0.0027,0.0345,0.3985,0.0382,20,-0.0005,0.6023,0.0137,,
oracle,0.6,0.4,8000,3000,20,0.5995,0.0204,-0.0027,0.0188,0.4,0.0,20,-0.0005,0.6023,0.0137,,
naive,0.6,0.4,8000,6000,20,0.9558,0.0107,0.3541,0.3542,0.0,0.0,20,0.3558,0.6017,0.0129,,
ldsc,0.6,0.4,8000,6000,20,0.5968,0.1626,-0.0049,0.1549,0.3911,0.1411,20,-0.0032,0.6017,0.0129,0,0
joint,0.6,0.4,8000,6000,20,0.6088,0.0349,0.0071,0.0285,0.3951,0.0195,20,0.0088,0.6017,0.0129,,
oracle,0.6,0.4,8000,6000,20,0.6037,0.0208,0.002,0.0152,0.4,0.0,20,0.0037,0.6017,0.0129,,
naive,0.6,0.4,8000,12000,20,0.9817,0.0044,0.3831,0.3832,0.0,0.0,20,0.3817,0.5986,0.0074,,
ldsc,0.6,0.4,8000,12000,20,0.6085,0.141,0.0099,0.1396,0.3905,0.0712,20,0.0085,0.5986,0.0074,0,0
joint,0.6,0.4,8000,12000,20,0.5994,0.0459,0.0007,0.0438,0.3988,0.0145,20,-0.0006,0.5986,0.0074,,
oracle,0.6,0.4,8000,12000,20,0.5989,0.0237,0.0003,0.0216,0.4,0.0,20,-0.0011,0.5986,0.0074,,
