arm,rg_true,cc_true,N,m,reps,rg_mean,rg_sd,rg_bias,rg_rmse,cc_mean,cc_sd,n_used,rg_bias_nominal,realized_rg_mean,realized_rg_sd,ldsc_fail,ldsc_clip
naive,0.0,0.0,8000,6000,20,-0.0025,0.0277,-0.0021,0.0218,0.0,0.0,20,-0.0025,-0.0005,0.0129,,
ldsc,0.0,0.0,8000,6000,20,-0.0026,0.1445,-0.0021,0.1385,0.0007,0.1016,20,-0.0026,-0.0005,0.0129,0,0
joint,0.0,0.0,8000,6000,20,-0.0049,0.0417,-0.0044,0.036,0.0014,0.0188,20,-0.0049,-0.0005,0.0129,,
oracle,0.0,0.0,8000,6000,20,-0.0025,0.0277,-0.0021,0.0218,0.0,0.0,20,-0.0025,-0.0005,0.0129,,
naive,0.0,0.2,8000,6000,20,0.2662,0.0257,0.2666,0.2674,0.0,0.0,20,0.2662,-0.0005,0.0129,,
ldsc,0.0,0.2,8000,6000,20,-0.001,0.1501,-0.0006,0.144,0.1969,0.1074,20,-0.001,-0.0005,0.0129,0,0
joint,0.0,0.2,8000,6000,20,-0.0069,0.0451,-0.0065,0.0394,0.2006,0.0233,20,-0.0069,-0.0005,0.0129,,
oracle,0.0,0.2,8000,6000,20,-0.0057,0.029,-0.0053,0.0238,0.2,0.0,20,-0.0057,-0.0005,0.0129,,
naive,0.0,0.4,8000,6000,20,0.506,0.0212,0.5065,0.5067,0.0,0.0,20,0.506,-0.0005,0.0129,,
ldsc,0.0,0.4,8000,6000,20,0.0014,0.1608,0.0018,0.1545,0.3924,0.1157,20,0.0014,-0.0005,0.0129,0,0
joint,0.0,0.4,8000,6000,20,-0.0092,0.0464,-0.0088,0.0408,0.4,0.0253,20,-0.0092,-0.0005,0.0129,,
oracle,0.0,0.4,8000,6000,20,-0.009,0.0305,-0.0085,0.0263,0.4,0.0,20,-0.009,-0.0005,0.0129,,
naive,0.3,0.0,8000,6000,20,0.304,0.0265,0.003,0.0199,0.0,0.0,20,0.004,0.301,0.0152,,
ldsc,0.3,0.0,8000,6000,20,0.3012,0.1448,0.0002,0.1376,-0.0008,0.1093,20,0.0012,0.301,0.0152,0,0
joint,0.3,0.0,8000,6000,20,0.3059,0.0416,0.0048,0.0338,-0.0023,0.0179,20,0.0059,0.301,0.0152,,
oracle,0.3,0.0,8000,6000,20,0.304,0.0265,0.003,0.0199,0.0,0.0,20,0.004,0.301,0.0152,,
naive,0.3,0.2,8000,6000,20,0.552,0.0226,0.2509,0.2514,0.0,0.0,20,0.252,0.301,0.0152,,
ldsc,0.3,0.2,8000,6000,20,0.3021,0.1535,0.001,0.146,0.1955,0.1164,20,0.0021,0.301,0.0152,0,0
joint,0.3,0.2,8000,6000,20,0.3035,0.0436,0.0024,0.0354,0.1975,0.0213,20,0.0035,0.301,0.0152,,
oracle,0.3,0.2,8000,6000,20,0.3009,0.0268,-0.0001,0.02,0.2,0.0,20,0.0009,0.301,0.0152,,
naive,0.3,0.4,8000,6000,20,0.751,0.0181,0.45,0.4501,0.0,0.0,20,0.451,0.301,0.0152,,
ldsc,0.3,0.4,8000,6000,20,0.3032,0.1684,0.0021,0.1605,0.3912,0.126,20,0.0032,0.301,0.0152,0,0
joint,0.3,0.4,8000,6000,20,0.3005,0.0442,-0.0005,0.0358,0.3976,0.0228,20,0.0005,0.301,0.0152,,
oracle,0.3,0.4,8000,6000,20,0.2979,0.0273,-0.0032,0.021,0.4,0.0,20,-0.0021,0.301,0.0152,,
naive,0.6,0.0,8000,6000,20,0.6104,0.0218,0.0087,0.018,0.0,0.0,20,0.0104,0.6017,0.0129,,
ldsc,0.6,0.0,8000,6000,20,0.6002,0.1358,-0.0015,0.1289,-0.001,0.1236,20,0.0002,0.6017,0.0129,0,0
joint,0.6,0.0,8000,6000,20,0.6161,0.0358,0.0144,0.0317,-0.0066,0.0176,20,0.0161,0.6017,0.0129,,
oracle,0.6,0.0,8000,6000,20,0.6104,0.0218,0.0087,0.018,0.0,0.0,20,0.0104,0.6017,0.0129,,
naive,0.6,0.2,8000,6000,20,0.8209,0.0179,0.2192,0.2195,0.0,0.0,20,0.2209,0.6017,0.0129,,
ldsc,0.6,0.2,8000,6000,20,0.5988,0.1456,-0.0029,0.1383,0.1953,0.1312,20,-0.0012,0.6017,0.0129,0,0
joint,0.6,0.2,8000,6000,20,0.6124,0.0356,0.0107,0.0302,0.1942,0.0188,20,0.0124,0.6017,0.0129,,
oracle,0.6,0.2,8000,6000,20,0.6068,0.0211,0.0052,0.0161,0.2,0.0,20,0.0068,0.6017,0.0129,,
naive,0.6,0.4,8000,6000,20,0.9558,0.0107,0.3541,0.3542,0.0,0.0,20,0.3558,0.6017,0.0129,,
ldsc,0.6,0.4,8000,6000,20,0.5968,0.1626,-0.0049,0.1549,0.3911,0.1411,20,-0.0032,0.6017,0.0129,0,0
joint,0.6,0.4,8000,6000,20,0.6088,0.0349,0.0071,0.0285,0.3951,0.0195,20,0.0088,0.6017,0.0129,,
oracle,0.6,0.4,8000,6000,20,0.6037,0.0208,0.002,0.0152,0.4,0.0,20,0.0037,0.6017,0.0129,,
