arm,rg_true,cc_true,N,m,reps,rg_mean,rg_sd,rg_bias,rg_rmse,cc_mean,cc_sd,n_used,rg_bias_nominal,realized_rg_mean,realized_rg_sd,ldsc_fail,ldsc_clip
naive,0.6,0.4,4000,6000,20,0.983,0.0042,0.3814,0.3816,0.0,0.0,20,0.383,0.6017,0.0129,,
ldsc,0.6,0.4,4000,6000,20,0.5921,0.2007,-0.0095,0.1919,0.3949,0.1012,20,-0.0079,0.6017,0.0129,0,0
joint,0.6,0.4,4000,6000,20,0.6128,0.0465,0.0111,0.0407,0.3955,0.0159,20,0.0128,0.6017,0.0129,,
oracle,0.6,0.4,4000,6000,20,0.6058,0.0291,0.0041,0.0233,0.4,0.0,20,0.0058,0.6017,0.0129,,
naive,0.6,0.4,8000,6000,20,0.9558,0.0107,0.3541,0.3542,0.0,0.0,20,0.3558,0.6017,0.0129,,
ldsc,0.6,0.4,8000,6000,20,0.5968,0.1626,-0.0049,0.1549,0.3911,0.1411,20,-0.0032,0.6017,0.0129,0,0
joint,0.6,0.4,8000,6000,20,0.6088,0.0349,0.0071,0.0285,0.3951,0.0195,20,0.0088,0.6017,0.0129,,
oracle,0.6,0.4,8000,6000,20,0.6037,0.0208,0.002,0.0152,0.4,0.0,20,0.0037,0.6017,0.0129,,
naive,0.6,0.4,20000,6000,20,0.8048,0.0122,0.2031,0.2032,0.0,0.0,20,0.2048,0.6017,0.0129,,
ldsc,0.6,0.4,20000,6000,20,0.5907,0.1528,-0.011,0.1457,0.3846,0.2593,20,-0.0093,0.6017,0.0129,0,0
joint,0.6,0.4,20000,6000,20,0.6059,0.0274,0.0042,0.0208,0.3939,0.0295,20,0.0059,0.6017,0.0129,,
oracle,0.6,0.4,20000,6000,20,0.6025,0.0142,0.0008,0.0097,0.4,0.0,20,0.0025,0.6017,0.0129,,
naive,0.6,0.4,50000,6000,20,0.7105,0.0102,0.1088,0.109,0.0,0.0,20,0.1105,0.6017,0.0129,,
ldsc,0.6,0.4,50000,6000,20,0.5916,0.1495,-0.0101,0.1418,0.3441,0.5134,20,-0.0084,0.6017,0.0129,0,3
joint,0.6,0.4,50000,6000,20,0.6036,0.0225,0.0019,0.0159,0.3929,0.0513,20,0.0036,0.6017,0.0129,,
oracle,0.6,0.4,50000,6000,20,0.6018,0.0103,0.0001,0.0075,0.4,0.0,20,0.0018,0.6017,0.0129,,
