arm,rg_true,cc_true,N,m,reps,rg_mean,rg_sd,rg_bias,rg_rmse,cc_mean,cc_sd,n_used,rg_bias_nominal,realized_rg_mean,realized_rg_sd,ldsc_fail,ldsc_clip
naive,0.6,0.4,8000,12500,4,0.9844,0.0032,0.3888,0.3888,0.0,0.0,4,0.3844,0.5956,0.0082,,
ldsc,0.6,0.4,8000,12500,4,0.5498,0.1886,-0.0458,0.1662,0.4193,0.0758,4,-0.0502,0.5956,0.0082,0,0
joint,0.6,0.4,8000,12500,4,0.6322,0.0338,0.0366,0.0447,0.3847,0.012,4,0.0322,0.5956,0.0082,,
oracle,0.6,0.4,8000,12500,4,0.6008,0.0187,0.0052,0.0105,0.4,0.0,4,0.0008,0.5956,0.0082,,
naive,0.6,0.4,8000,25000,4,0.9842,0.0022,0.3854,0.3854,0.0,0.0,4,0.3842,0.5988,0.0067,,
ldsc,0.6,0.4,8000,25000,4,0.6271,0.0857,0.0282,0.0806,0.3983,0.0253,4,0.0271,0.5988,0.0067,0,0
joint,0.6,0.4,8000,25000,4,0.647,0.0354,0.0482,0.0576,0.3919,0.0085,4,0.047,0.5988,0.0067,,
oracle,0.6,0.4,8000,25000,4,0.6245,0.0278,0.0256,0.0326,0.4,0.0,4,0.0245,0.5988,0.0067,,
naive,0.6,0.4,8000,50000,4,0.9813,0.0019,0.3787,0.3787,0.0,0.0,4,0.3813,0.6026,0.0036,,
ldsc,0.6,0.4,8000,50000,4,0.6433,0.0642,0.0407,0.0664,0.3944,0.0037,4,0.0433,0.6026,0.0036,0,0
joint,0.6,0.4,8000,50000,4,0.5561,0.0839,-0.0464,0.0837,0.4036,0.0071,4,-0.0439,0.6026,0.0036,,
oracle,0.6,0.4,8000,50000,4,0.6105,0.0481,0.0079,0.0393,0.4,0.0,4,0.0105,0.6026,0.0036,,
naive,0.6,0.4,8000,100000,4,0.979,0.0011,0.3772,0.3772,0.0,0.0,4,0.379,0.6018,0.0041,,
ldsc,0.6,0.4,8000,100000,4,0.5051,0.0704,-0.0967,0.1126,0.3983,0.0038,4,-0.0949,0.6018,0.0041,0,0
joint,0.6,0.4,8000,100000,4,0.3312,0.1273,-0.2706,0.291,0.4111,0.0046,4,-0.2688,0.6018,0.0041,,
oracle,0.6,0.4,8000,100000,4,0.4914,0.0524,-0.1104,0.1184,0.4,0.0,4,-0.1086,0.6018,0.0041,,
