model,region_rg,N,region_size,n_regions,reps,est_mean,est_sd,realized_mean,bias,rmse,separation_d,cc_mean,nu_median
global,0.0,50000,100,20,10,0.0368,0.1401,0.0034,0.0333,0.0702,6.32,0.4506,1000000.0
global,0.4,50000,100,20,10,0.3797,0.1287,0.3932,-0.0135,0.0594,6.32,0.4506,1000000.0
global,0.8,50000,100,20,10,0.7251,0.064,0.7958,-0.0707,0.0816,6.32,0.4506,1000000.0
perregion,0.0,50000,100,20,10,-0.0442,0.1826,0.0034,-0.0476,0.1012,6.677,0.3264,4.0
perregion,0.4,50000,100,20,10,0.4332,0.1557,0.3932,0.04,0.0851,6.677,0.3264,4.0
perregion,0.8,50000,100,20,10,0.8681,0.0631,0.7958,0.0723,0.0828,6.677,0.3264,4.0
hier,0.0,50000,100,20,10,-0.1169,0.1646,0.0034,-0.1203,0.143,6.925,0.5655,20.0
hier,0.4,50000,100,20,10,0.3294,0.1524,0.3932,-0.0638,0.0976,6.925,0.5655,20.0
hier,0.8,50000,100,20,10,0.7566,0.0687,0.7958,-0.0392,0.0592,6.925,0.5655,20.0
rho,0.0,50000,100,20,10,-0.0796,0.1742,0.0034,-0.0831,0.1166,6.895,0.4186,50.0
rho,0.4,50000,100,20,10,0.3888,0.154,0.3932,-0.0043,0.0733,6.895,0.4186,50.0
rho,0.8,50000,100,20,10,0.8347,0.0693,0.7958,0.0389,0.058,6.895,0.4186,50.0
