model,region_rg,N,region_size,n_regions,reps,est_mean,est_sd,realized_mean,bias,rmse,separation_d,cc_mean,nu_median
fix:4,0.0,50000,100,20,6,-0.0416,0.1828,0.0071,-0.0488,0.1018,6.716,0.3106,4.0
fix:4,0.4,50000,100,20,6,0.4504,0.1482,0.4008,0.0495,0.0883,6.716,0.3106,4.0
fix:4,0.8,50000,100,20,6,0.8746,0.0617,0.7959,0.0788,0.0869,6.716,0.3106,4.0
fix:20,0.0,50000,100,20,6,-0.115,0.1643,0.0071,-0.1222,0.145,6.992,0.5536,20.0
fix:20,0.4,50000,100,20,6,0.3447,0.1452,0.4008,-0.0561,0.0917,6.992,0.5536,20.0
fix:20,0.8,50000,100,20,6,0.763,0.0675,0.7959,-0.0328,0.0519,6.992,0.5536,20.0
fix:50,0.0,50000,100,20,6,-0.1184,0.1531,0.0071,-0.1255,0.1447,7.02,0.6303,50.0
fix:50,0.4,50000,100,20,6,0.312,0.1406,0.4008,-0.0888,0.1131,7.02,0.6303,50.0
fix:50,0.8,50000,100,20,6,0.7184,0.0706,0.7959,-0.0775,0.0885,7.02,0.6303,50.0
fix:100,0.0,50000,100,20,6,-0.1012,0.1473,0.0071,-0.1083,0.1275,6.946,0.638,100.0
fix:100,0.4,50000,100,20,6,0.3095,0.1364,0.4008,-0.0914,0.1133,6.946,0.638,100.0
fix:100,0.8,50000,100,20,6,0.7024,0.0712,0.7959,-0.0935,0.1031,6.946,0.638,100.0
fix:300,0.0,50000,100,20,6,-0.044,0.1423,0.0071,-0.0511,0.0806,6.73,0.5661,300.0
fix:300,0.4,50000,100,20,6,0.3409,0.1296,0.4008,-0.0599,0.0859,6.73,0.5661,300.0
fix:300,0.8,50000,100,20,6,0.7082,0.0688,0.7959,-0.0877,0.0974,6.73,0.5661,300.0
fix:1000,0.0,50000,100,20,6,0.0019,0.1394,0.0071,-0.0052,0.061,6.564,0.5003,1000.0
fix:1000,0.4,50000,100,20,6,0.3685,0.1254,0.4008,-0.0324,0.0665,6.564,0.5003,1000.0
fix:1000,0.8,50000,100,20,6,0.7183,0.0664,0.7959,-0.0776,0.0874,6.564,0.5003,1000.0
fix:1000000,0.0,50000,100,20,6,0.0386,0.1391,0.0071,0.0315,0.0692,6.361,0.4437,1000000.0
fix:1000000,0.4,50000,100,20,6,0.3919,0.1234,0.4008,-0.0089,0.059,6.361,0.4437,1000000.0
fix:1000000,0.8,50000,100,20,6,0.729,0.065,0.7959,-0.0669,0.0782,6.361,0.4437,1000000.0
