model,region_rg,N,region_size,n_regions,reps,est_mean,est_sd,realized_mean,bias,rmse,separation_d,cc_mean,nu_median
global,0.0,50000,100,20,6,0.0386,0.1391,0.0071,0.0315,0.0692,6.361,0.4437,1000000.0
global,0.4,50000,100,20,6,0.3919,0.1234,0.4008,-0.0089,0.059,6.361,0.4437,1000000.0
global,0.8,50000,100,20,6,0.729,0.065,0.7959,-0.0669,0.0782,6.361,0.4437,1000000.0
rho,0.0,50000,100,20,6,-0.0773,0.1744,0.0071,-0.0845,0.1184,6.901,0.4072,50.0
rho,0.4,50000,100,20,6,0.4036,0.1467,0.4008,0.0028,0.0722,6.901,0.4072,50.0
rho,0.8,50000,100,20,6,0.84,0.0702,0.7959,0.0441,0.0604,6.901,0.4072,50.0
rhoz:0.15,0.0,50000,100,20,6,-0.1007,0.1532,0.0071,-0.1078,0.1283,7.032,0.5926,50.0
rhoz:0.15,0.4,50000,100,20,6,0.3295,0.1396,0.4008,-0.0714,0.0989,7.032,0.5926,50.0
rhoz:0.15,0.8,50000,100,20,6,0.7397,0.0714,0.7959,-0.0562,0.0705,7.032,0.5926,50.0
rhoz:0.3,0.0,50000,100,20,6,-0.0942,0.1651,0.0071,-0.1013,0.1272,6.994,0.5002,50.0
rhoz:0.3,0.4,50000,100,20,6,0.3666,0.1441,0.4008,-0.0343,0.0787,6.994,0.5002,50.0
rhoz:0.3,0.8,50000,100,20,6,0.7939,0.0706,0.7959,-0.002,0.0416,6.994,0.5002,50.0
rhoz:0.6,0.0,50000,100,20,6,-0.0839,0.1715,0.0071,-0.091,0.1219,6.938,0.4384,50.0
rhoz:0.6,0.4,50000,100,20,6,0.3913,0.1456,0.4008,-0.0096,0.0719,6.938,0.4384,50.0
rhoz:0.6,0.8,50000,100,20,6,0.8251,0.0702,0.7959,0.0292,0.0504,6.938,0.4384,50.0
