model,region_rg,N,region_size,n_regions,reps,est_mean,est_sd,realized_mean,bias,rmse,separation_d,cc_mean,nu_median
global,0.0,50000,200,10,10,0.0131,0.0927,-0.0091,0.0222,0.0507,9.152,0.484,1000000.0
global,0.4,50000,200,10,10,0.3583,0.1063,0.3999,-0.0417,0.0599,9.152,0.484,1000000.0
global,0.8,50000,200,10,10,0.7072,0.0539,0.7915,-0.0844,0.0905,9.152,0.484,1000000.0
perregion,0.0,50000,200,10,10,-0.0782,0.1198,-0.0091,-0.0691,0.0965,9.834,0.3975,4.0
perregion,0.4,50000,200,10,10,0.3958,0.1264,0.3999,-0.0041,0.0566,9.834,0.3975,4.0
perregion,0.8,50000,200,10,10,0.8399,0.0555,0.7915,0.0484,0.0581,9.834,0.3975,4.0
hier,0.0,50000,200,10,10,-0.122,0.113,-0.0091,-0.1129,0.1283,10.022,0.5334,20.0
hier,0.4,50000,200,10,10,0.3389,0.1236,0.3999,-0.061,0.0812,10.022,0.5334,20.0
hier,0.8,50000,200,10,10,0.7743,0.0568,0.7915,-0.0172,0.0378,10.022,0.5334,20.0
rho,0.0,50000,200,10,10,-0.0979,0.1146,-0.0091,-0.0888,0.1083,10.115,0.4479,50.0
rho,0.4,50000,200,10,10,0.3727,0.1261,0.3999,-0.0273,0.0618,10.115,0.4479,50.0
rho,0.8,50000,200,10,10,0.8203,0.0578,0.7915,0.0288,0.0439,10.115,0.4479,50.0
global,0.0,50000,100,20,10,0.0368,0.1401,0.0034,0.0333,0.0702,6.32,0.4506,1000000.0
global,0.4,50000,100,20,10,0.3797,0.1287,0.3932,-0.0135,0.0594,6.32,0.4506,1000000.0
global,0.8,50000,100,20,10,0.7251,0.064,0.7958,-0.0707,0.0816,6.32,0.4506,1000000.0
perregion,0.0,50000,100,20,10,-0.0442,0.1826,0.0034,-0.0476,0.1012,6.677,0.3264,4.0
perregion,0.4,50000,100,20,10,0.4332,0.1557,0.3932,0.04,0.0851,6.677,0.3264,4.0
perregion,0.8,50000,100,20,10,0.8681,0.0631,0.7958,0.0723,0.0828,6.677,0.3264,4.0
hier,0.0,50000,100,20,10,-0.1169,0.1646,0.0034,-0.1203,0.143,6.925,0.5655,20.0
hier,0.4,50000,100,20,10,0.3294,0.1524,0.3932,-0.0638,0.0976,6.925,0.5655,20.0
hier,0.8,50000,100,20,10,0.7566,0.0687,0.7958,-0.0392,0.0592,6.925,0.5655,20.0
rho,0.0,50000,100,20,10,-0.0796,0.1742,0.0034,-0.0831,0.1166,6.895,0.4186,50.0
rho,0.4,50000,100,20,10,0.3888,0.154,0.3932,-0.0043,0.0733,6.895,0.4186,50.0
rho,0.8,50000,100,20,10,0.8347,0.0693,0.7958,0.0389,0.058,6.895,0.4186,50.0
global,0.0,50000,50,40,10,0.0355,0.1887,-0.0008,0.0364,0.0974,4.709,0.4384,1000000.0
global,0.4,50000,50,40,10,0.3923,0.1726,0.4108,-0.0185,0.0825,4.709,0.4384,1000000.0
global,0.8,50000,50,40,10,0.7261,0.0861,0.7977,-0.0716,0.0905,4.709,0.4384,1000000.0
perregion,0.0,50000,50,40,10,-0.0308,0.2484,-0.0008,-0.0299,0.1343,4.954,0.2749,4.0
perregion,0.4,50000,50,40,10,0.4695,0.2136,0.4108,0.0587,0.1188,4.954,0.2749,4.0
perregion,0.8,50000,50,40,10,0.8783,0.0752,0.7977,0.0807,0.0964,4.954,0.2749,4.0
hier,0.0,50000,50,40,10,-0.1047,0.1995,-0.0008,-0.1039,0.1425,5.126,0.6335,50.0
hier,0.4,50000,50,40,10,0.3067,0.1934,0.4108,-0.1041,0.1398,5.126,0.6335,50.0
hier,0.8,50000,50,40,10,0.6978,0.0959,0.7977,-0.0999,0.1177,5.126,0.6335,50.0
rho,0.0,50000,50,40,10,-0.096,0.2336,-0.0008,-0.0952,0.1523,5.169,0.4354,50.0
rho,0.4,50000,50,40,10,0.3862,0.2114,0.4108,-0.0246,0.1045,5.169,0.4354,50.0
rho,0.8,50000,50,40,10,0.8224,0.0926,0.7977,0.0247,0.0651,5.169,0.4354,50.0
