arm,estimator,region_rg,N,n_regions,region_size,reps,est_mean,est_sd,realized_mean,bias,rmse,cc_mean,separation_d
naive,sampled,0.0,50000,20,100,10,0.2436,0.1127,0.0034,0.2402,0.2493,0.0,5.533
naive,sampled,0.4,50000,20,100,10,0.4856,0.096,0.3932,0.0925,0.1073,0.0,5.533
naive,sampled,0.8,50000,20,100,10,0.7165,0.0437,0.7958,-0.0793,0.0861,0.0,5.533
naive,postmean,0.0,50000,20,100,10,0.2643,0.1363,0.0034,0.2609,0.2703,0.0,5.446
naive,postmean,0.4,50000,20,100,10,0.548,0.1131,0.3932,0.1548,0.1659,0.0,5.446
naive,postmean,0.8,50000,20,100,10,0.8194,0.047,0.7958,0.0236,0.039,0.0,5.446
ldsc,sampled,0.0,50000,20,100,10,0.4048,0.133,0.0034,0.4014,0.418,-0.5676,3.685
ldsc,sampled,0.4,50000,20,100,10,0.5958,0.0996,0.3932,0.2026,0.221,-0.5676,3.685
ldsc,sampled,0.8,50000,20,100,10,0.7685,0.0422,0.7958,-0.0273,0.0516,-0.5676,3.685
ldsc,postmean,0.0,50000,20,100,10,0.515,0.1728,0.0034,0.5115,0.5344,-0.5676,2.988
ldsc,postmean,0.4,50000,20,100,10,0.7085,0.1229,0.3932,0.3154,0.3344,-0.5676,2.988
ldsc,postmean,0.8,50000,20,100,10,0.8932,0.0466,0.7958,0.0974,0.108,-0.5676,2.988
joint,sampled,0.0,50000,20,100,10,0.1073,0.1155,0.0034,0.1039,0.1194,0.4506,6.29
joint,sampled,0.4,50000,20,100,10,0.389,0.1074,0.3932,-0.0042,0.0508,0.4506,6.29
joint,sampled,0.8,50000,20,100,10,0.6751,0.0543,0.7958,-0.1207,0.126,0.4506,6.29
joint,postmean,0.0,50000,20,100,10,0.0368,0.1401,0.0034,0.0333,0.0702,0.4506,6.32
joint,postmean,0.4,50000,20,100,10,0.3797,0.1287,0.3932,-0.0135,0.0594,0.4506,6.32
joint,postmean,0.8,50000,20,100,10,0.7251,0.064,0.7958,-0.0707,0.0816,0.4506,6.32
oracle,sampled,0.0,50000,20,100,10,0.1225,0.1146,0.0034,0.119,0.1336,0.4,6.242
oracle,sampled,0.4,50000,20,100,10,0.4001,0.1055,0.3932,0.007,0.0505,0.4,6.242
oracle,sampled,0.8,50000,20,100,10,0.6795,0.0529,0.7958,-0.1163,0.1214,0.4,6.242
oracle,postmean,0.0,50000,20,100,10,0.0622,0.1385,0.0034,0.0587,0.086,0.4,6.316
oracle,postmean,0.4,50000,20,100,10,0.4001,0.1252,0.3932,0.0069,0.0549,0.4,6.316
oracle,postmean,0.8,50000,20,100,10,0.7377,0.0607,0.7958,-0.0581,0.0688,0.4,6.316
