arm,estimator,region_rg,N,n_regions,region_size,reps,est_mean,est_sd,realized_mean,bias,rmse,cc_mean,separation_d
naive,sampled,0.0,50000,10,200,10,0.2391,0.0764,-0.0091,0.2482,0.2527,0.0,7.938
naive,sampled,0.4,50000,10,200,10,0.474,0.0832,0.3999,0.0741,0.0837,0.0,7.938
naive,sampled,0.8,50000,10,200,10,0.7094,0.0344,0.7915,-0.0821,0.0859,0.0,7.938
naive,postmean,0.0,50000,10,200,10,0.2593,0.0938,-0.0091,0.2684,0.2745,0.0,7.711
naive,postmean,0.4,50000,10,200,10,0.5314,0.0996,0.3999,0.1315,0.139,0.0,7.711
naive,postmean,0.8,50000,10,200,10,0.8117,0.0383,0.7915,0.0201,0.03,0.0,7.711
ldsc,sampled,0.0,50000,10,200,10,0.378,0.1483,-0.0091,0.3871,0.4123,-0.4983,3.406
ldsc,sampled,0.4,50000,10,200,10,0.5645,0.1267,0.3999,0.1646,0.1935,-0.4983,3.406
ldsc,sampled,0.8,50000,10,200,10,0.7553,0.0503,0.7915,-0.0362,0.0593,-0.4983,3.406
ldsc,postmean,0.0,50000,10,200,10,0.4712,0.2164,-0.0091,0.4803,0.5247,-0.4983,2.512
ldsc,postmean,0.4,50000,10,200,10,0.6581,0.1678,0.3999,0.2582,0.2943,-0.4983,2.512
ldsc,postmean,0.8,50000,10,200,10,0.8728,0.0654,0.7915,0.0812,0.1012,-0.4983,2.512
joint,sampled,0.0,50000,10,200,10,0.0907,0.0759,-0.0091,0.0998,0.1071,0.484,9.236
joint,sampled,0.4,50000,10,200,10,0.3738,0.0899,0.3999,-0.0261,0.0447,0.484,9.236
joint,sampled,0.8,50000,10,200,10,0.6638,0.044,0.7915,-0.1278,0.1306,0.484,9.236
joint,postmean,0.0,50000,10,200,10,0.0131,0.0927,-0.0091,0.0222,0.0507,0.484,9.152
joint,postmean,0.4,50000,10,200,10,0.3583,0.1063,0.3999,-0.0417,0.0599,0.484,9.152
joint,postmean,0.8,50000,10,200,10,0.7072,0.0539,0.7915,-0.0844,0.0905,0.484,9.152
oracle,sampled,0.0,50000,10,200,10,0.1164,0.0739,-0.0091,0.1255,0.1316,0.4,9.292
oracle,sampled,0.4,50000,10,200,10,0.3916,0.0894,0.3999,-0.0083,0.0366,0.4,9.292
oracle,sampled,0.8,50000,10,200,10,0.6716,0.0411,0.7915,-0.1199,0.1227,0.4,9.292
oracle,postmean,0.0,50000,10,200,10,0.0557,0.0888,-0.0091,0.0648,0.0783,0.4,9.444
oracle,postmean,0.4,50000,10,200,10,0.3906,0.1059,0.3999,-0.0093,0.0414,0.4,9.444
oracle,postmean,0.8,50000,10,200,10,0.7286,0.0477,0.7915,-0.063,0.0685,0.4,9.444
naive,sampled,0.0,50000,20,100,10,0.2436,0.1127,0.0034,0.2402,0.2493,0.0,5.533
naive,sampled,0.4,50000,20,100,10,0.4856,0.096,0.3932,0.0925,0.1073,0.0,5.533
naive,sampled,0.8,50000,20,100,10,0.7165,0.0437,0.7958,-0.0793,0.0861,0.0,5.533
naive,postmean,0.0,50000,20,100,10,0.2643,0.1363,0.0034,0.2609,0.2703,0.0,5.446
naive,postmean,0.4,50000,20,100,10,0.548,0.1131,0.3932,0.1548,0.1659,0.0,5.446
naive,postmean,0.8,50000,20,100,10,0.8194,0.047,0.7958,0.0236,0.039,0.0,5.446
ldsc,sampled,0.0,50000,20,100,10,0.4048,0.133,0.0034,0.4014,0.418,-0.5676,3.685
ldsc,sampled,0.4,50000,20,100,10,0.5958,0.0996,0.3932,0.2026,0.221,-0.5676,3.685
ldsc,sampled,0.8,50000,20,100,10,0.7685,0.0422,0.7958,-0.0273,0.0516,-0.5676,3.685
ldsc,postmean,0.0,50000,20,100,10,0.515,0.1728,0.0034,0.5115,0.5344,-0.5676,2.988
ldsc,postmean,0.4,50000,20,100,10,0.7085,0.1229,0.3932,0.3154,0.3344,-0.5676,2.988
ldsc,postmean,0.8,50000,20,100,10,0.8932,0.0466,0.7958,0.0974,0.108,-0.5676,2.988
joint,sampled,0.0,50000,20,100,10,0.1073,0.1155,0.0034,0.1039,0.1194,0.4506,6.29
joint,sampled,0.4,50000,20,100,10,0.389,0.1074,0.3932,-0.0042,0.0508,0.4506,6.29
joint,sampled,0.8,50000,20,100,10,0.6751,0.0543,0.7958,-0.1207,0.126,0.4506,6.29
joint,postmean,0.0,50000,20,100,10,0.0368,0.1401,0.0034,0.0333,0.0702,0.4506,6.32
joint,postmean,0.4,50000,20,100,10,0.3797,0.1287,0.3932,-0.0135,0.0594,0.4506,6.32
joint,postmean,0.8,50000,20,100,10,0.7251,0.064,0.7958,-0.0707,0.0816,0.4506,6.32
oracle,sampled,0.0,50000,20,100,10,0.1225,0.1146,0.0034,0.119,0.1336,0.4,6.242
oracle,sampled,0.4,50000,20,100,10,0.4001,0.1055,0.3932,0.007,0.0505,0.4,6.242
oracle,sampled,0.8,50000,20,100,10,0.6795,0.0529,0.7958,-0.1163,0.1214,0.4,6.242
oracle,postmean,0.0,50000,20,100,10,0.0622,0.1385,0.0034,0.0587,0.086,0.4,6.316
oracle,postmean,0.4,50000,20,100,10,0.4001,0.1252,0.3932,0.0069,0.0549,0.4,6.316
oracle,postmean,0.8,50000,20,100,10,0.7377,0.0607,0.7958,-0.0581,0.0688,0.4,6.316
naive,sampled,0.0,50000,40,50,10,0.2353,0.1558,-0.0008,0.2362,0.2531,0.0,4.068
