pair,status,run,m,ldsc_rg,ldsc_rg_se,ldsc_h2_1,ldsc_h2_2,cross_corr,rg,p,h2_1,h2_2,frac_shared,rho_beta,n_causal_1,n_causal_2,n_shared,rg_from_overlap,cancel_1,cancel_2,divergence_warned
bilirubin x gallstones,superseded,clinical,695257,-0.0108,0.0382,0.0929,0.0583,-0.0031,-0.0042,0.01951,0.1077,0.4464,0.15,-0.0182,10007,4184,628,-0.0018,0.38,5.2,0
Lp(a) x CAD,ok,clinical,958848,-0.0945,0.1161,0.0041,0.1314,0.0066,0.0481,0.001581,0.0069,0.0671,0.464,0.3644,106,1459,49,0.0456,1.69,0.37,0
Lp(a) x VTE,ok,clinical,1010904,0.0287,0.1068,0.0047,0.0691,-0.0005,-0.0001,0.005604,0.0075,0.0835,0.4205,-0.0424,131,5589,55,-0.0027,1.75,0.3,0
dbilirubin x bilirubin,ok,panel,1037654,0.9358,0.0168,0.0579,0.1055,0.4946,0.6905,0.015327,0.076,0.0994,0.9891,0.9926,6910,15829,6835,0.6487,0.34,0.25,0
ALP x GGT,ok,panel,1032727,0.3292,0.0289,0.1414,0.1392,0.2658,0.204,0.015406,0.1753,0.1748,0.7969,0.2842,10683,13741,8513,0.1997,0.46,0.39,0
GGT x bilirubin,ok,panel,1035723,-0.117,0.0296,0.1381,0.1033,-0.0107,-0.032,0.017623,0.1811,0.1158,0.6347,-0.0545,14388,10579,6715,-0.0297,0.37,0.34,0
cystatinC x CRP,ok,panel,1034282,0.3546,0.0242,0.1856,0.134,0.2874,0.2321,0.024242,0.2111,0.1566,0.762,0.3362,21000,17117,13043,0.2313,0.28,0.3,0
SHBG x ALP,ok,panel,1032917,-0.1147,0.029,0.1528,0.1426,-0.1135,-0.0464,0.01483,0.1782,0.1768,0.7115,-0.0607,12229,10710,7620,-0.0404,0.38,0.46,0
CRP x Lp(a),ok,panel,1035437,0.0587,0.0749,0.1348,0.0044,0.0165,-0.0009,0.017885,0.1616,0.0078,0.3877,-0.1137,18414,172,67,-0.0043,0.27,1.49,0
urate x gout,ok,urate-gout,940498,1.0146,0.0339,0.0727,0.1254,0.0462,0.6519,0.008508,0.0464,0.1135,0.9989,0.9946,3370,7998,3366,0.6449,0.57,0.46,0
urate x cystatinC,ok,urate-gout,1003206,0.482,0.0237,0.0719,0.1795,0.2127,0.3593,0.016153,0.0463,0.1888,0.8651,0.8207,4099,15651,3546,0.3633,0.52,0.33,0
gout x CRP,ok,urate-gout,969586,0.3887,0.0345,0.146,0.1333,0.0292,0.1992,0.020823,0.2112,0.1596,0.7181,0.3694,9321,17563,6693,0.1932,0.26,0.29,0
bilirubin x gallstones,rejected,clinical-refit,828569,-0.0719,0.0907,0.0984,0.0162,0.0027,-0.0006,0.013518,0.1117,0.2374,0.2083,-0.0185,10118,1368,285,-0.0014,0.37,14.29,1
